phase,config_name,experiment_id,energy_mean_j,energy_std_j,energy_cv,throughput_mean_tps,throughput_std_tps,throughput_cv,efficiency_mean_tpj,latency_mean_ms,total_tokens,backend,model_name,num_cycles,num_prompts,max_input_tokens,max_output_tokens,batch_size,batch_strategy,fp_precision,quantization,load_in_4bit,load_in_8bit,sharding_strategy,num_shards,num_processes,num_gpus,temperature,do_sample,top_p,top_k,decoder_preset,latency_enabled,latency_mode,target_qps,gpu_name
1b_features,batching_static,0001,3999.1332660091907,77.31619456335865,0.019333237834435538,1878.4601433745504,17.538961270975907,0.009336882303751267,8.195805999558033,0.5323817125505078,32768,pytorch,meta-llama/Llama-3.2-1B,3,128,128,128,16,static,float16,False,False,False,none,1,1,1,0.0,False,1.0,50,deterministic,False,poisson,1.0,NVIDIA A100-PCIE-40GB
1b_features,decoder_creative,0001,4013.531882122176,42.389061914988474,0.010561536113318486,888.3030474119106,4.156333697338058,0.004678959178905918,4.082491907880544,1.1257583775356277,16384,pytorch,meta-llama/Llama-3.2-1B,3,64,128,128,8,static,float16,False,False,False,none,1,1,1,0.8,True,0.9,50,creative,False,poisson,1.0,NVIDIA A100-PCIE-40GB
1b_features,decoder_deterministic,0001,3709.8958519679422,9.657091984843104,0.002603062827146597,942.6850563897711,4.622090293724893,0.0049031118743159555,4.416316408133717,1.0608166359323452,16384,pytorch,meta-llama/Llama-3.2-1B,3,64,128,128,8,static,float16,False,False,False,none,1,1,1,0.0,False,1.0,50,deterministic,False,poisson,1.0,NVIDIA A100-PCIE-40GB
1b_features,decoder_factual,0001,3912.052115655464,101.37797006557221,0.025914268795109427,888.8703744024124,9.699726634924552,0.010912419756869138,4.189970926611368,1.125112394599152,16384,pytorch,meta-llama/Llama-3.2-1B,3,64,128,128,8,static,float16,False,False,False,none,1,1,1,0.3,True,1.0,10,factual,False,poisson,1.0,NVIDIA A100-PCIE-40GB
1b_features,decoder_standard,0001,3981.300037866173,11.455200733033317,0.002877251305875674,887.6187931015912,4.002589661456842,0.004509356598310251,4.115261435845717,1.1266250550647783,16384,pytorch,meta-llama/Llama-3.2-1B,3,64,128,128,8,static,float16,False,False,False,none,1,1,1,1.0,True,0.95,50,standard,False,poisson,1.0,NVIDIA A100-PCIE-40GB
1b_features,multicycle_10,0001,3777.4604952747636,32.968487839454625,0.00872768567154971,938.277121120845,6.469790061358628,0.0068953936057078325,4.337603704567324,1.0658287428782387,16384,pytorch,meta-llama/Llama-3.2-1B,10,64,128,128,8,static,float16,False,False,False,none,1,1,1,0.0,False,1.0,50,deterministic,False,poisson,1.0,NVIDIA A100-PCIE-40GB
1b_features,multicycle_3,0001,3697.783664366332,19.772956607724094,0.005347245377891103,936.880142642913,4.278805458353257,0.004567078822145664,4.4308464471994276,1.0673872618932971,16384,pytorch,meta-llama/Llama-3.2-1B,3,64,128,128,8,static,float16,False,False,False,none,1,1,1,0.0,False,1.0,50,deterministic,False,poisson,1.0,NVIDIA A100-PCIE-40GB
1b_features,multicycle_5,0001,3708.9418276256497,36.59435241561679,0.009866520996109386,938.0413783083892,6.136064259842661,0.006541357771347031,4.417778191663494,1.0660876996325896,16384,pytorch,meta-llama/Llama-3.2-1B,5,64,128,128,8,static,float16,False,False,False,none,1,1,1,0.0,False,1.0,50,deterministic,False,poisson,1.0,NVIDIA A100-PCIE-40GB
1b_features,traffic_constant_1qps,0001,4908.433540277842,66.85392122455744,0.013620215222629493,940.9290685502032,13.49539092354621,0.014342623025070424,3.338339018387137,1.0629260012440984,16384,pytorch,meta-llama/Llama-3.2-1B,3,64,128,128,8,static,float16,False,False,False,none,1,1,1,0.0,False,1.0,50,deterministic,True,constant,1.0,NVIDIA A100-PCIE-40GB
1b_features,traffic_none,0001,3734.3100084123193,24.925585540584407,0.0066747499496384284,936.3102239975657,3.9584987105436054,0.004227764056279169,4.387553924655729,1.06803479741302,16384,pytorch,meta-llama/Llama-3.2-1B,3,64,128,128,8,static,float16,False,False,False,none,1,1,1,0.0,False,1.0,50,deterministic,False,poisson,1.0,NVIDIA A100-PCIE-40GB
1b_features,traffic_poisson_1qps,0001,5330.892451014189,47.88847283806414,0.008983199957251713,933.8114401110239,2.6542820966997134,0.002842417625965406,3.073571092574259,1.0708857825344846,16384,pytorch,meta-llama/Llama-3.2-1B,3,64,128,128,8,static,float16,False,False,False,none,1,1,1,0.0,False,1.0,50,deterministic,True,poisson,1.0,NVIDIA A100-PCIE-40GB
1b_features,traffic_poisson_2qps,0001,4614.539647024288,28.374057354770787,0.0061488381344968965,939.4509977331767,10.144457624084534,0.010798282878577311,3.550605905507512,1.0645347454859195,16384,pytorch,meta-llama/Llama-3.2-1B,3,64,128,128,8,static,float16,False,False,False,none,1,1,1,0.0,False,1.0,50,deterministic,True,poisson,2.0,NVIDIA A100-PCIE-40GB
1c_parallelism,baseline_1gpu,0001,14429.469741818977,84.81822524823261,0.005878124890647605,567.7593811068504,3.478396883837668,0.006126533527383576,2.2709736586613745,1.7613645483625835,32768,pytorch,meta-llama/Llama-3.2-3B,6,128,128,128,8,static,float16,False,False,False,none,1,1,1,0.0,False,1.0,50,deterministic,False,poisson,1.0,NVIDIA A100-PCIE-40GB
1c_parallelism,naive_2gpu,0001,68316.80052170764,946.5460774818096,0.013855246004693162,340.50103165494295,3.9610203158604405,0.011632917223799957,0.9594518105129005,2.9371748872482724,65536,pytorch,meta-llama/Llama-3.2-3B,6,128,128,128,8,static,float16,False,False,False,none,1,2,2,0.0,False,1.0,50,deterministic,False,poisson,1.0,NVIDIA A100-PCIE-40GB
1c_parallelism,pt_tp_2gpu,0001,108692.02859340956,1191.712056162841,0.01096411642679654,163.85047465747482,0.4948055852015311,0.0030198605541784935,0.6030123698930274,6.103171791164585,65536,pytorch,meta-llama/Llama-3.2-3B,6,128,128,128,8,static,float16,False,False,False,tensor_parallel,2,2,2,0.0,False,1.0,50,deterministic,False,poisson,1.0,NVIDIA A100-PCIE-40GB
1c_parallelism,vllm_tp_2gpu,0001,978.9298486199963,5.707116437694963,0.00582995446072088,10856.627197883116,70.45392247657796,0.006489485287872411,23.516140418157544,0.09211288165498516,23020,pytorch,meta-llama/Llama-3.2-3B,6,128,128,128,8,static,float16,False,False,False,tensor_parallel,2,1,2,0.0,False,1.0,50,deterministic,False,poisson,1.0,NVIDIA A100-PCIE-40GB
